state,year,party,percent_votes,id 
Alabama,2008,republican,0.60316914,1
Alaska,2008,republican,0.5942452,2
Arizona,2008,republican,0.53635246,4
Arkansas,2008,republican,0.58715904,5
Georgia,2008,republican,0.5220452,13
Idaho,2008,republican,0.6151709,16
Kansas,2008,republican,0.56612253,20
Kentucky,2008,republican,0.5739902,21
Louisiana,2008,republican,0.5856272,22
Mississippi,2008,republican,0.5617619,28
Missouri,2008,republican,0.49426076,29
Montana,2008,republican,0.49532452,30
Nebraska,2008,republican,0.5653185,31
North Dakota,2008,republican,0.532501,38
Oklahoma,2008,republican,0.6564508,40
South Carolina,2008,republican,0.53873646,45
South Dakota,2008,republican,0.53158975,46
Tennessee,2008,republican,0.56896955,47
Texas,2008,republican,0.5545236,48
Utah,2008,republican,0.6258387,49
West Virginia,2008,republican,0.55710346,54
Wyoming,2008,republican,0.64713776,56
