state,year,party,p_votes,id
Alabama,2000,republican,0.5648376,1
Alaska,2000,republican,0.58620954,2
Arizona,2000,republican,0.5102114,4
Arkansas,2000,republican,0.51307195,5
California,2000,democrat,0.5344974,6
Colorado,2000,republican,0.50750214,8
Connecticut,2000,democrat,0.5590963,9
Delaware,2000,democrat,0.54977727,10
District of Columbia,2000,democrat,0.8515508,11
Florida,2000,republican,0.48846826,12
Georgia,2000,republican,0.5495957,13
Hawaii,2000,democrat,0.5579167,15
Idaho,2000,republican,0.6717044,16
Illinois,2000,democrat,0.5459652,17
Indiana,2000,republican,0.56646883,18
Iowa,2000,democrat,0.47191915,19
Kansas,2000,republican,0.5804166,20
Kentucky,2000,republican,0.56506485,21
Louisiana,2000,republican,0.5255106,22
Maine,2000,democrat,0.49086016,23
Maryland,2000,democrat,0.5648831,24
Massachusetts,2000,democrat,0.59126127,25
Michigan,2000,democrat,0.512798,26
Minnesota,2000,democratic-farmer-labor,0.47905573,27
Mississippi,2000,republican,0.5761952,28
Missouri,2000,republican,0.5042282,29
Montana,2000,republican,0.5843946,30
Nebraska,2000,republican,0.62245363,31
Nevada,2000,republican,0.4948509,32
New Hampshire,2000,republican,0.4807031,33
New Jersey,2000,democrat,0.5612561,34
New Mexico,2000,democrat,0.47908553,35
New York,2000,democrat,0.5663927,36
North Carolina,2000,republican,0.5595776,37
North Dakota,2000,republican,0.6065858,38
Ohio,2000,republican,0.49986473,39
Oklahoma,2000,republican,0.60307854,40
Oregon,2000,democrat,0.4695994,41
Pennsylvania,2000,democrat,0.5060817,42
Rhode Island,2000,democrat,0.609877,44
South Carolina,2000,republican,0.5686039,45
South Dakota,2000,republican,0.60296774,46
Tennessee,2000,republican,0.51149154,47
Texas,2000,republican,0.592986,48
Utah,2000,republican,0.6683014,49
Vermont,2000,democrat,0.5063471,50
Virginia,2000,republican,0.5247373,51
Washington,2000,democrat,0.50158215,53
West Virginia,2000,republican,0.5191522,54
Wisconsin,2000,democrat,0.4783282,55
Wyoming,2000,republican,0.6922274,56
