state,year,party,percent_votes,id 
Alabama,2016,republican,0.62083095,1
Alaska,2016,republican,0.5128151,2
Arizona,2016,republican,0.48671615,4
Arkansas,2016,republican,0.605741,5
Florida,2016,republican,0.4902194,12
Georgia,2016,republican,0.50771326,13
Idaho,2016,republican,0.59261435,16
Indiana,2016,republican,0.5694003,18
Iowa,2016,republican,0.51162064,19
Kansas,2016,republican,0.56654584,20
Kentucky,2016,republican,0.6251964,21
Louisiana,2016,republican,0.58088684,22
Michigan,2016,republican,0.47497565,26
Mississippi,2016,republican,0.5794104,28
Missouri,2016,republican,0.56772345,29
Montana,2016,republican,0.5646619,30
Nebraska,2016,republican,0.5874735,31
North Carolina,2016,republican,0.49828094,37
North Dakota,2016,republican,0.6295563,38
Ohio,2016,republican,0.5168765,39
Oklahoma,2016,republican,0.65322864,40
Pennsylvania,2016,republican,0.48577887,42
South Carolina,2016,republican,0.54939336,45
South Dakota,2016,republican,0.6153075,46
Tennessee,2016,republican,0.60722035,47
Texas,2016,republican,0.52234685,48
Utah,2016,republican,0.45540816,49
West Virginia,2016,republican,0.68630576,54
Wisconsin,2016,republican,0.47218186,55
Wyoming,2016,republican,0.6739841,56
