state,year,party,percent_votes,id 
California,2016,democrat,0.617264,6
Colorado,2016,democrat,0.4815698,8
Connecticut,2016,democrat,0.545663,9
Delaware,2016,democrat,0.5335334,10
District of Columbia,2016,democrat,0.90483886,11
Hawaii,2016,democrat,0.60980797,15
Illinois,2016,democrat,0.55825365,17
Maine,2016,democrat,0.46345213,23
Maryland,2016,democrat,0.6032574,24
Massachusetts,2016,democrat,0.59050065,25
Minnesota,2016,democrat,0.46445033,27
Nevada,2016,democrat,0.47917825,32
New Hampshire,2016,democrat,0.4682626,33
New Jersey,2016,democrat,0.55453086,34
New Mexico,2016,democrat,0.48255646,35
New York,2016,democrat,0.56136143,36
Oregon,2016,democrat,0.50071853,41
Rhode Island,2016,democrat,0.5440661,44
Vermont,2016,democrat,0.55722743,50
Virginia,2016,democrat,0.49751353,51
Washington,2016,democrat,0.5253868,53
