state,year,party,p_votes,id
Alabama,2004,republican,0.6246069,1
Alaska,2004,republican,0.6106533,2
Arizona,2004,republican,0.5486943,4
Arkansas,2004,republican,0.5430596,5
California,2004,democrat,0.5430556,6
Colorado,2004,republican,0.51711094,8
Connecticut,2004,democrat,0.5431371,9
Delaware,2004,democrat,0.53346837,10
District of Columbia,2004,democrat,0.89183867,11
Florida,2004,republican,0.5209752,12
Georgia,2004,republican,0.57974756,13
Hawaii,2004,democrat,0.5400955,15
Idaho,2004,republican,0.6839095,16
Illinois,2004,democrat,0.5482316,17
Indiana,2004,republican,0.59944767,18
Iowa,2004,republican,0.49900657,19
Kansas,2004,republican,0.6200398,20
Kentucky,2004,republican,0.59549516,21
Louisiana,2004,republican,0.5672202,22
Maine,2004,democrat,0.5357286,23
Maryland,2004,democrat,0.5597147,24
Massachusetts,2004,democrat,0.6161666,25
Michigan,2004,democrat,0.51230705,26
Minnesota,2004,democratic-farmer-labor,0.51089686,27
Mississippi,2004,republican,0.59014374,28
Missouri,2004,republican,0.5329619,29
Montana,2004,republican,0.59068143,30
Nebraska,2004,republican,0.6589864,31
Nevada,2004,republican,0.5046969,32
New Hampshire,2004,democrat,0.5020161,33
New Jersey,2004,democrat,0.5292341,34
New Mexico,2004,republican,0.49838424,35
New York,2004,democrat,0.5613058,36
North Carolina,2004,republican,0.56017196,37
North Dakota,2004,republican,0.62861335,38
Ohio,2004,republican,0.50814027,39
Oklahoma,2004,republican,0.655704,40
Oregon,2004,democrat,0.5134866,41
Pennsylvania,2004,democrat,0.50923806,42
Rhode Island,2004,democrat,0.5942343,44
South Carolina,2004,republican,0.5798195,45
South Dakota,2004,republican,0.5991113,46
Tennessee,2004,republican,0.5679909,47
Texas,2004,republican,0.6108582,48
Utah,2004,republican,0.71535945,49
Vermont,2004,democrat,0.5893746,50
Virginia,2004,republican,0.53731954,51
Washington,2004,democrat,0.5282115,53
West Virginia,2004,republican,0.56070715,54
Wisconsin,2004,democrat,0.49699718,55
Wyoming,2004,republican,0.6873957,56
