state,year,party,percent_votes,id 
Alabama,2004,republican,0.6246069,1
Alaska,2004,republican,0.6106533,2
Arizona,2004,republican,0.5486943,4
Arkansas,2004,republican,0.5430596,5
Colorado,2004,republican,0.51711094,8
Florida,2004,republican,0.5209752,12
Georgia,2004,republican,0.57974756,13
Idaho,2004,republican,0.6839095,16
Indiana,2004,republican,0.59944767,18
Iowa,2004,republican,0.49900657,19
Kansas,2004,republican,0.6200398,20
Kentucky,2004,republican,0.59549516,21
Louisiana,2004,republican,0.5672202,22
Mississippi,2004,republican,0.59014374,28
Missouri,2004,republican,0.5329619,29
Montana,2004,republican,0.59068143,30
Nebraska,2004,republican,0.6589864,31
Nevada,2004,republican,0.5046969,32
New Mexico,2004,republican,0.49838424,35
North Carolina,2004,republican,0.56017196,37
North Dakota,2004,republican,0.62861335,38
Ohio,2004,republican,0.50814027,39
Oklahoma,2004,republican,0.655704,40
South Carolina,2004,republican,0.5798195,45
South Dakota,2004,republican,0.5991113,46
Tennessee,2004,republican,0.5679909,47
Texas,2004,republican,0.6108582,48
Utah,2004,republican,0.71535945,49
Virginia,2004,republican,0.53731954,51
West Virginia,2004,republican,0.56070715,54
Wyoming,2004,republican,0.6873957,56
