state,year,party,percent_votes,id 
California,2012,democrat,0.6023896,6
Colorado,2012,democrat,0.51492226,8
Connecticut,2012,democrat,0.5808501,9
Delaware,2012,democrat,0.58610743,10
District of Columbia,2012,democrat,0.9091311,11
Florida,2012,democrat,0.5000787,12
Hawaii,2012,democrat,0.7014793,15
Illinois,2012,democrat,0.5760214,17
Iowa,2012,democrat,0.5198802,19
Maine,2012,democrat,0.55371034,23
Maryland,2012,democrat,0.6197419,24
Massachusetts,2012,democrat,0.60338306,25
Michigan,2012,democrat,0.5420821,26
Nevada,2012,democrat,0.5235625,32
New Hampshire,2012,democrat,0.51979685,33
New Jersey,2012,democrat,0.58342355,34
New Mexico,2012,democrat,0.5299276,35
New York,2012,democrat,0.60760987,36
Ohio,2012,democrat,0.5066675,39
Oregon,2012,democrat,0.54239327,41
Pennsylvania,2012,democrat,0.5207686,42
Rhode Island,2012,democrat,0.6270096,44
Vermont,2012,democrat,0.6657055,50
Virginia,2012,democrat,0.51156455,51
Washington,2012,democrat,0.561634,53
Wisconsin,2012,democrat,0.52776164,55
